h3_index,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,Ds,demand_grade,Ra,Ra_grade,Ra_percentile,total_walk_length,robot_walk_length,n_crossings,avg_robot_weight,ratio_footway,has_crossing,ratio_footway_norm,walk_density_norm
8830e1cd21fffff,37.45509212806639,127.17157452465692,은행2동,중원구,41133560,0.28440447622504966,C,0.3341265858854018,C,49.82332155477032,10296.5,4848.7,0,0.5093,0.4709,0.0,0.5428655090761947,0.38993460751641296
8830e15349fffff,37.39909263329149,127.10650615542404,삼평동,분당구,41135655,0.458371381575248,A,0.39502676842029594,B,77.3851590106007,13034.8,6980.5,0,0.766,0.5355,0.0,0.6173380337870085,0.4936385163516417
8830e1523dfffff,37.4150981719387,127.16029604677726,도촌동,중원구,41133670,0.2853938536924451,C,0.3309136754635709,C,48.76325088339223,13873.6,5213.8,0,0.5923,0.3758,0.0,0.43323180783782966,0.5254031744281301
8830e1c991fffff,37.43233357638169,127.11454830250773,고등동,수정구,41131640,0.24694815124964348,C,0.2779438492846459,C,31.448763250883395,111.4,66.8,0,0.6,0.6,0.0,0.6916952759518302,0.004219129679712726
8830e1cd07fffff,37.468567900697174,127.17797591376277,은행2동,중원구,41133560,0.28440447622504966,C,0.35811840528793243,B,66.78445229681978,3978.0,2699.4,0,0.6833,0.6786,0.0,0.78230735710152,0.15065154149108148
8830e1c90bfffff,37.42847975434967,127.04348710360114,고등동,수정구,41131640,0.24694815124964348,C,0.0,D,4.946996466431095,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8830e15223fffff,37.40836347437733,127.1571003444401,야탑3동,분당구,41135640,0.2899265421066042,C,0.381097819140919,B,74.91166077738515,6670.4,4416.2,0,0.5833,0.6621,0.0,0.7632857370128446,0.25261174778593704
8830e026c5fffff,37.38307950511591,127.05279543328538,운중동,분당구,41135680,0.34365185828235756,B,0.340520266672331,B,54.06360424028268,2745.7,1841.7,0,0.65,0.6708,0.0,0.7733153185141461,0.10398046422224172
8830e15315fffff,37.381429344442296,127.14432589482182,서현1동,분당구,41135580,0.46286517016966955,A,0.4294242418063987,A,83.03886925795054,2589.9,2314.5,0,0.65,0.8937,0.0,1.0,0.09808080602132895
8830e1c9abfffff,37.41170752638031,127.09708636950418,시흥동,수정구,41131650,0.2292619362013324,D,0.6090766799635939,A,90.45936395759718,4300.7,2426.9,5,0.6243,0.5643,1.0,0.6505394070326963,0.16286972383505144
8830e1c9e3fffff,37.41758740012557,127.08448012706098,시흥동,수정구,41131650,0.2292619362013324,D,0.0,D,4.946996466431095,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8830e15209fffff,37.43403435078751,127.14616358120144,성남동,중원구,41133510,0.5129422940779669,A,0.2396516478386427,C,21.20141342756184,2662.8,1209.2,0,0.4636,0.4541,0.0,0.5234980413495435,0.10084143766275096
